Product_ID,Product_Name,Product_Description,Category,Subcategory,Unit,Min_Stock_Level,Average_Lead_Time_Days,Unit_Cost,Currency
P-0001,Monitor Lenovo Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: wysoka jakość wykonania. Standard: Zgodność z normami UE.,IT,Monitory,szt.,5,7,7603.37,PLN
P-0002,Meble Brother Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: trwałość materiałowa. Standard: Zgodność z normami UE.,Office,Meble,szt.,7,5,1061.32,PLN
P-0003,Kaski Honeywell Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: wysoka jakość wykonania. Standard: Zgodność z normami UE.,BHP,Kaski,szt.,5,3,1484.48,PLN
P-0004,Rękawice Uvex Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: trwałość materiałowa. Standard: Zgodność z normami UE.,BHP,Rękawice,szt.,9,5,35.95,PLN
P-0005,Rękawice Uvex Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: ergonomiczny kształt. Standard: Zgodność z normami UE.,BHP,Rękawice,szt.,8,7,65.71,PLN
P-0006,Meble Nowy Styl Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: ergonomiczny kształt. Standard: Zgodność z normami UE.,Office,Meble,szt.,14,3,1295.01,PLN
P-0007,Czujniki Bosch Professional Series,Idealny do precyzyjnej detekcji obiektów w szybkich liniach pakujących i montażowych. Kluczowe cechy: złącze M12 4-pin. Standard: Stopień ochrony IP67.,Production,Czujniki,szt.,9,3,955.77,PLN
P-0008,Rękawice 3M Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: ergonomiczny kształt. Standard: Zgodność z normami UE.,BHP,Rękawice,szt.,15,8,1414.63,PLN
P-0009,Drukarki HP Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: trwałość materiałowa. Standard: Zgodność z normami UE.,IT,Drukarki,szt.,11,5,2375.43,PLN
P-0010,Papier Navigator Professional Series,Zapewnia doskonały kontrast i ostrość wydruku w wysokonakładowych systemach laserowych. Kluczowe cechy: wysoki stopień białości CIE 160. Standard: Certyfikat FSC.,Office,Papier,szt.,6,2,1498.26,PLN
P-0011,Toners Xerox Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: trwałość materiałowa. Standard: Zgodność z normami UE.,Office,Toners,szt.,14,3,690.55,PLN
P-0012,Drukarki Lenovo Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: trwałość materiałowa. Standard: Zgodność z normami UE.,IT,Drukarki,szt.,10,5,4452.24,PLN
P-0013,Okulary ochronne Ansell Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: ergonomiczny kształt. Standard: Zgodność z normami UE.,BHP,Okulary ochronne,szt.,8,7,1343.87,PLN
P-0014,Meble Nowy Styl Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: wysoka jakość wykonania. Standard: Zgodność z normami UE.,Office,Meble,szt.,7,6,568.63,PLN
P-0015,Artykuły biurowe Nowy Styl Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: ergonomiczny kształt. Standard: Zgodność z normami UE.,Office,Artykuły biurowe,szt.,15,4,1082.38,PLN
P-0016,Silnik SICK 5kW AC,Przeznaczony do pracy ciągłej S1 w układach napędowych i wentylacyjnych. Kluczowe cechy: stopień ochrony IP55. Standard: Certyfikat CE.,Production,Silniki,szt.,5,5,1289.52,PLN
P-0017,Laptop Lenovo Latitude i7/32GB,Zoptymalizowany pod kątem wielozadaniowości i bezpiecznej pracy w środowisku korporacyjnym. Kluczowe cechy: matryca IPS z powłoką antyrefleksyjną. Standard: Energy Star.,IT,Laptopy,szt.,10,8,2009.58,PLN
P-0018,Odzież robocza Honeywell Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: wysoka jakość wykonania. Standard: Zgodność z normami UE.,BHP,Odzież robocza,szt.,13,8,1035.27,PLN
P-0019,Narzędzia SKF Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: trwałość materiałowa. Standard: Zgodność z normami UE.,Production,Narzędzia,szt.,10,6,444.2,PLN
P-0020,Laptop HP Latitude i7/32GB,Zoptymalizowany pod kątem wielozadaniowości i bezpiecznej pracy w środowisku korporacyjnym. Kluczowe cechy: moduł TPM 2.0. Standard: MIL-STD 810H.,IT,Laptopy,szt.,8,7,8315.78,PLN
P-0021,Narzędzia SKF Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: wysoka jakość wykonania. Standard: Zgodność z normami UE.,Production,Narzędzia,szt.,8,3,1338.46,PLN
P-0022,Czujniki SICK Professional Series,Idealny do precyzyjnej detekcji obiektów w szybkich liniach pakujących i montażowych. Kluczowe cechy: wyjście PNP/NPN. Standard: Stopień ochrony IP67.,Production,Czujniki,szt.,6,8,1238.21,PLN
P-0023,Odzież robocza Uvex Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: trwałość materiałowa. Standard: Zgodność z normami UE.,BHP,Odzież robocza,szt.,13,7,1277.7,PLN
P-0024,Laptop Samsung Latitude i7/32GB,Zoptymalizowany pod kątem wielozadaniowości i bezpiecznej pracy w środowisku korporacyjnym. Kluczowe cechy: podświetlana klawiatura odporna na zachlapanie. Standard: MIL-STD 810H.,IT,Laptopy,szt.,14,5,2190.45,PLN
P-0025,Artykuły biurowe Nowy Styl Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: trwałość materiałowa. Standard: Zgodność z normami UE.,Office,Artykuły biurowe,szt.,10,2,1484.22,PLN
P-0026,Laptop Samsung ThinkPad i5/16GB,Zoptymalizowany pod kątem wielozadaniowości i bezpiecznej pracy w środowisku korporacyjnym. Kluczowe cechy: złącze Thunderbolt 4. Standard: MIL-STD 810H.,IT,Laptopy,szt.,12,6,2789.1,PLN
P-0027,Laptop Lenovo ThinkPad i5/16GB,Zoptymalizowany pod kątem wielozadaniowości i bezpiecznej pracy w środowisku korporacyjnym. Kluczowe cechy: złącze Thunderbolt 4. Standard: Energy Star.,IT,Laptopy,szt.,10,4,8632.97,PLN
P-0028,Laptop Dell Latitude i5/16GB,Zoptymalizowany pod kątem wielozadaniowości i bezpiecznej pracy w środowisku korporacyjnym. Kluczowe cechy: podświetlana klawiatura odporna na zachlapanie. Standard: MIL-STD 810H.,IT,Laptopy,szt.,7,3,8339.25,PLN
P-0029,Papier Brother Professional Series,Zapewnia doskonały kontrast i ostrość wydruku w wysokonakładowych systemach laserowych. Kluczowe cechy: technologia ColorLok. Standard: Certyfikat FSC.,Office,Papier,szt.,8,7,1094.43,PLN
P-0030,Meble Brother Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: trwałość materiałowa. Standard: Zgodność z normami UE.,Office,Meble,szt.,6,5,90.14,PLN
P-0031,Drukarki HP Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: wysoka jakość wykonania. Standard: Zgodność z normami UE.,IT,Drukarki,szt.,7,4,7796.97,PLN
P-0032,Meble Navigator Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: ergonomiczny kształt. Standard: Zgodność z normami UE.,Office,Meble,szt.,9,4,750.73,PLN
P-0033,Papier Brother Professional Series,Zapewnia doskonały kontrast i ostrość wydruku w wysokonakładowych systemach laserowych. Kluczowe cechy: minimalne pylenie. Standard: ISO 9706.,Office,Papier,szt.,6,7,322.6,PLN
P-0034,Narzędzia Bosch Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: ergonomiczny kształt. Standard: Zgodność z normami UE.,Production,Narzędzia,szt.,13,2,921.81,PLN
P-0035,Papier Xerox Professional Series,Zapewnia doskonały kontrast i ostrość wydruku w wysokonakładowych systemach laserowych. Kluczowe cechy: technologia ColorLok. Standard: ISO 9706.,Office,Papier,szt.,14,4,97.75,PLN
P-0036,Meble Navigator Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: trwałość materiałowa. Standard: Zgodność z normami UE.,Office,Meble,szt.,7,2,677.66,PLN
P-0037,Narzędzia Bosch Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: ergonomiczny kształt. Standard: Zgodność z normami UE.,Production,Narzędzia,szt.,5,2,52.56,PLN
P-0038,Narzędzia ABB Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: ergonomiczny kształt. Standard: Zgodność z normami UE.,Production,Narzędzia,szt.,15,7,1043.93,PLN
P-0039,Oprogramowanie Samsung Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: ergonomiczny kształt. Standard: Zgodność z normami UE.,IT,Oprogramowanie,szt.,7,8,2088.53,PLN
P-0040,Silnik SICK 4kW AC,Przeznaczony do pracy ciągłej S1 w układach napędowych i wentylacyjnych. Kluczowe cechy: stopień ochrony IP55. Standard: Certyfikat CE.,Production,Silniki,szt.,8,8,656.99,PLN
P-0041,Artykuły biurowe Xerox Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: ergonomiczny kształt. Standard: Zgodność z normami UE.,Office,Artykuły biurowe,szt.,10,2,1060.74,PLN
P-0042,Monitor Samsung Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: ergonomiczny kształt. Standard: Zgodność z normami UE.,IT,Monitory,szt.,7,2,7589.77,PLN
P-0043,Czujniki Siemens Professional Series,Idealny do precyzyjnej detekcji obiektów w szybkich liniach pakujących i montażowych. Kluczowe cechy: złącze M12 4-pin. Standard: Certyfikat UL.,Production,Czujniki,szt.,8,5,328.04,PLN
P-0044,Toners Xerox Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: wysoka jakość wykonania. Standard: Zgodność z normami UE.,Office,Toners,szt.,10,4,380.86,PLN
P-0045,Okulary ochronne Honeywell Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: trwałość materiałowa. Standard: Zgodność z normami UE.,BHP,Okulary ochronne,szt.,8,7,855.34,PLN
P-0046,Narzędzia ABB Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: trwałość materiałowa. Standard: Zgodność z normami UE.,Production,Narzędzia,szt.,6,2,1129.93,PLN
P-0047,Silnik SICK 1kW DC,Przeznaczony do pracy ciągłej S1 w układach napędowych i wentylacyjnych. Kluczowe cechy: wysoka sprawność IE3. Standard: Zgodność z normą IEC 60034.,Production,Silniki,szt.,7,2,526.69,PLN
P-0048,Papier Nowy Styl Professional Series,Zapewnia doskonały kontrast i ostrość wydruku w wysokonakładowych systemach laserowych. Kluczowe cechy: bezkwasowy skład. Standard: ISO 9706.,Office,Papier,szt.,14,5,652.15,PLN
P-0049,Monitor Samsung Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: ergonomiczny kształt. Standard: Zgodność z normami UE.,IT,Monitory,szt.,14,5,4452.94,PLN
P-0050,Monitor Lenovo Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: trwałość materiałowa. Standard: Zgodność z normami UE.,IT,Monitory,szt.,10,3,4836.43,PLN
P-0051,Oprogramowanie Lenovo Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: wysoka jakość wykonania. Standard: Zgodność z normami UE.,IT,Oprogramowanie,szt.,6,6,7053.88,PLN
P-0052,Artykuły biurowe Brother Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: trwałość materiałowa. Standard: Zgodność z normami UE.,Office,Artykuły biurowe,szt.,15,5,1259.47,PLN
P-0053,Toners Brother Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: trwałość materiałowa. Standard: Zgodność z normami UE.,Office,Toners,szt.,14,2,160.15,PLN
P-0054,Okulary ochronne Ansell Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: ergonomiczny kształt. Standard: Zgodność z normami UE.,BHP,Okulary ochronne,szt.,8,3,106.56,PLN
P-0055,Monitor HP Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: trwałość materiałowa. Standard: Zgodność z normami UE.,IT,Monitory,szt.,8,5,8637.07,PLN
P-0056,Toners Xerox Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: trwałość materiałowa. Standard: Zgodność z normami UE.,Office,Toners,szt.,7,7,1119.83,PLN
P-0057,Toners Navigator Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: wysoka jakość wykonania. Standard: Zgodność z normami UE.,Office,Toners,szt.,10,6,724.2,PLN
P-0058,Laptop Dell ThinkPad i5/16GB,Zoptymalizowany pod kątem wielozadaniowości i bezpiecznej pracy w środowisku korporacyjnym. Kluczowe cechy: podświetlana klawiatura odporna na zachlapanie. Standard: TCO Certified.,IT,Laptopy,szt.,6,8,6487.22,PLN
P-0059,Papier Nowy Styl Professional Series,Zapewnia doskonały kontrast i ostrość wydruku w wysokonakładowych systemach laserowych. Kluczowe cechy: minimalne pylenie. Standard: Certyfikat FSC.,Office,Papier,szt.,5,2,72.61,PLN
P-0060,Toners Xerox Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: wysoka jakość wykonania. Standard: Zgodność z normami UE.,Office,Toners,szt.,6,5,116.72,PLN
P-0061,Narzędzia Siemens Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: trwałość materiałowa. Standard: Zgodność z normami UE.,Production,Narzędzia,szt.,14,8,351.2,PLN
P-0062,Okulary ochronne Honeywell Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: trwałość materiałowa. Standard: Zgodność z normami UE.,BHP,Okulary ochronne,szt.,6,7,892.55,PLN
P-0063,Artykuły biurowe Navigator Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: ergonomiczny kształt. Standard: Zgodność z normami UE.,Office,Artykuły biurowe,szt.,14,2,1286.69,PLN
P-0064,Artykuły biurowe Xerox Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: trwałość materiałowa. Standard: Zgodność z normami UE.,Office,Artykuły biurowe,szt.,11,5,166.83,PLN
P-0065,Monitor Samsung Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: wysoka jakość wykonania. Standard: Zgodność z normami UE.,IT,Monitory,szt.,13,6,7663.52,PLN
P-0066,Czujniki SICK Professional Series,Idealny do precyzyjnej detekcji obiektów w szybkich liniach pakujących i montażowych. Kluczowe cechy: odporność na zakłócenia EMC. Standard: Stopień ochrony IP67.,Production,Czujniki,szt.,11,2,1357.47,PLN
P-0067,Artykuły biurowe Brother Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: wysoka jakość wykonania. Standard: Zgodność z normami UE.,Office,Artykuły biurowe,szt.,14,6,175.48,PLN
P-0068,Silnik Bosch 1kW DC,Przeznaczony do pracy ciągłej S1 w układach napędowych i wentylacyjnych. Kluczowe cechy: stopień ochrony IP55. Standard: Certyfikat CE.,Production,Silniki,szt.,15,5,1232.29,PLN
P-0069,Oprogramowanie Samsung Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: trwałość materiałowa. Standard: Zgodność z normami UE.,IT,Oprogramowanie,szt.,6,6,4141.18,PLN
P-0070,Artykuły biurowe Nowy Styl Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: ergonomiczny kształt. Standard: Zgodność z normami UE.,Office,Artykuły biurowe,szt.,6,8,827.5,PLN
P-0071,Artykuły biurowe Brother Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: ergonomiczny kształt. Standard: Zgodność z normami UE.,Office,Artykuły biurowe,szt.,14,5,628.81,PLN
P-0072,Okulary ochronne 3M Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: wysoka jakość wykonania. Standard: Zgodność z normami UE.,BHP,Okulary ochronne,szt.,8,2,517.08,PLN
P-0073,Laptop Samsung ThinkPad i7/32GB,Zoptymalizowany pod kątem wielozadaniowości i bezpiecznej pracy w środowisku korporacyjnym. Kluczowe cechy: matryca IPS z powłoką antyrefleksyjną. Standard: MIL-STD 810H.,IT,Laptopy,szt.,11,7,1544.62,PLN
P-0074,Artykuły biurowe Nowy Styl Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: ergonomiczny kształt. Standard: Zgodność z normami UE.,Office,Artykuły biurowe,szt.,9,5,426.98,PLN
